planned performance;geplante Leistung, Leistungsvorgabe
burdensome duties;beschwerliche Pflichten
proprietary article;Markenartikel (US)
cease;aufhören
certificate of damage;Schadenszertifikat
daily earnings;Tagesverdienst
dynamic demand;dynamische Nachfrage
construction work, construction works;Bauarbeiten
term;Laufzeit, Frist, Fachausdruck, Bedingung
educational advertising;Aufklärung, belehrende Werbung
workshop;Werkstatt
subject to goods being unsold;Zwischenvarkauf vorbehalten
rebate;Rabatt
exports;Exportgeschäfte, Exportumsätze
well-staffed;gut besetzt
financial analysis;Finanzanalyse
speculative transaction;Spekulationsgeschäft
commend;empfehlen
a suitable offer;ein geeignetes Angebot
lodge securities;Wertpapiere hinterlegen
however;jedoch
sufficiency of a document;Vollständigkeit eines Dokuments
job hunting;Arbeitssuche
partial drawings;Teilinanspruchnahmen
suspend;aufheben
overloaded;überlastet
grant;Beihilfe, Stipendium, Zuschuss
catalogue;Katalog
endorsement for collection;Inkassoindossament
to put into operation;in Gang bringen
sundries;Verschiedenes
to obtain a quantity discount;einen Mengenrabatt erhalten
cost of distribution;Vertriebskosten
uncalculable;nicht berechenbar
superior make;überlegenes Fabrikat
applicant for insurance;Antragsteller für eine Versicherung
research and development company;Forschungs- und Entwicklungsgesellschaft
at the date;zu dem vereinbarten Termin
speed of output;Ausstoßgeschwindigkeit
bad delivery;mangelhafte Lieferung
negotiable securities;übertragbare Wertpapiere
working life;Berufsleben
project;Projekt
bordering;angrenzend
chronograph;Chronograph
appraisal of quality;Qualitätsbewertung
floor manager;Abteilungsleiter
or alternatively;oder alternati
duplicate of the consignment note;Frachtbriefdoppel (Br.)
bearer bond;Inhaberbond, Inhaberschuldverschreibung
through the post by airmail;per Luftpost
invisible;unsichtbar
leaving passengers;abfahrende Passagiere, abfliegende
to take up documents;Dokumente aufnehmen
monthly sales, monthly turnover;Monatsumsatz
indirect labour;indirekte Arbeit, unproduktive Arbeit
must advise the party;muss den Beteiligten benachrichtigen
re-organize;umorganisieren, neu organisieren
money back guarantee;Rückgabegarantie
change of name;Namenswechsel, Namensänderung
to balance accounts;die Konten abrechnen
gross proceeds;Bruttoertrag
inferior;minderwertig
significant;bedeutungsvoll, wichtig
qualification;Qualifikation, Befähigung
accord;Übereinkommen, Übereinstimmung
quotation list;Kursblatt
partial census;Teilerhebung
falling market;Markt mit fallenden Kursen
lower drawer;untere Schublade
net price;Nettopreis
in time;rechtzeitig
all parties concerned;alle beteiligten Parteien
mortgage debt;Hypothekenschuld
assistant operator;Bedienungshelfer
vast;ausgedehnt
movie audience;anwesende Kinobesucher
reverse;umgekehrt
changes in international commerce;Veränderungen des internationalen Handels
bankrupt;bankrott, zahlungsunfähig, Zahlungsunfähiger
temporary job;Aushilfe
underline;unterstreichen
dairy man;Milchmann
uniform;einheitlich
collective account;Sammelkonto
fashion adviser;Modeberater
handling;Behandlung, Bearbeitung, Umschlag
photocopying machine;Fotokopiergerät
secret society;Geheimbund
mixed team;gemischtes Team, gemischte Arbeitsgruppe
provide for packing of the goods;für die Verpackung der Ware sorgen
adjourn a hearing;eine Anhörung vertagen
factory costs;Herstellungskosten
degree of utilization;Grad der Nutzung
registered trade mark;eingetragenes Warenzeichen
loss in transit of any messages;Verlust bei Übermittlung von Nachrichten
making presentation to the drawee;beim Bezogenen die Vorlegung vornehmen
to get down to business;zur Sache kommen
credit on landed property;Realkredit
daily job time report;Arbeitszeitkarte
stagflation;Stagflation
unascertained goods;Gattungsware, Ware nicht ausgesondert und nicht bezeichnet
government controlled;von der Regierung kontrolliert, gelenkt
similar;ähnlich, gleichartig
money compensation;geldliche Abfindung, Geldausgleich
total assets;Gesamtaktiva
choice of occupation;Berufswahl
small transactions;kleine Geschäfteè
this question deals with;diese Frage befasst sich mit
parol contract;mündlicher Vertrag
an attempt to include;ein Versuch aufzunehmen
adaptability;Anpassungsfähigkeit, Anwendbarkeit
counter claim;Gegenforderung
infringement of a right;Verletzung eines Rechts
multipack;Mehrstückpackung
nationalize;verstaatlichen
to acquire a right;ein Recht erwerben
coverage;Anwendungsbereich, Deckung
real estate speculation;Grundstücksspekulation
the country of destination;das Bestimmungsland
subject to fluctuations;Schwankungen unterworfen
tissue paper;Seidenpapier
falsification of accounts;Fälschung der Bücher
requisition form;Anforderungsformblatt
maximum employment;maximaler Einsatz
operating speed;Arbeitsgeschwindigkeit
excess of births over deaths;Geburtenüberschuss
official correspondence;amtlicher Schriftverkehr
freight policy;Frachtpolice der Transportversicherung
for account of;für Rechnung von
payable at a future date;zahlbar erst später
commercial knowledge;kaufmännische Kenntnisse
has been carried out;wurde durchgeführt
foreign assets;Auslandsguthaben, Auslandsvermögen
appropriate;angemessen
volume of trade;Umfang des Geschäfts, Umfang des Handels
pawned securities;verpfändete Wertpapiere
national income;Nationaleinkommen, Volkseinkommen
travel expense report;Reisekostenabrechnung
upper class;Oberklasse, Oberschicht
overdue payment;überfällige Zahlung
insurance coverage;Deckung
compound entry;Sammelbuchung
assumed name;angenommener Name
to hold an appointment;eine Stelle bekleiden
certificate of ownership;Eigentumsbescheinigung
vacation compensation;Urlaubsentschädigung
allot;zuweisen
bottom left corner;Ecke unten links
idleness;Untätigkeit
cartel agreement;Kartellvertrag
field help;Helfer vor Ort, am Ort
working population;Anteil der Arbeiter an der Bevölkerung, arbeitende Bevölkerung
numbered account;Nummernkonto
pile of orders;hoher Auftragsstand
majority in value;Mehrheit berechnet nach dem Wert
brand label;Markenetikett
bad faith;Arglist
haul;schleppen, ziehen
sole owner;alleiniger Eigentümer, Alleineigentümer
advert;Anzeige
exchange of ideas;Meinungsaustausch
as from;mit Wirkung vom
dangerous premises;gefährliche Geschäftsräume
debts of the company;Schulden der Firma
issue of bank notes;Notenausgabe
capitalization;Kapitalisierung
marketing agreement;Absatzabsprache, Vertriebsvereinbarung
interdiction of commerce;Handelsverbot
backslide;Rückfall
booth;Marktbude
abatement;Ermäßigung, Nachlass, Kürzung, Senkung, Ungültigerklärung, Niederschlagung
attendance card;Anwesenheitslochkarte
delcredere agent;Vertreter der das Inkasso garantiert
prejudice;Voreingenommenheit, Vorurteil
occupational accident;Arbeitsunfall, Betriebsunfall
pay out;auszahlen, ausgeben
limited partnership;begrenzt haftende Teilhaberschaft, Kommanditgesellschaft, Teilhaberschaft mit beschränkter Haftung
matter of public concern;Angelegenheit von öffentlichem Interesse
enclosed;beigefügt
volume of money;Geldvolumen
the seller is only required;der Verkäufer ist nur verpflichtet
transfrontier;grenzüberschreitend
liquidation;Liquidation, Auflösung einer Gesellschaft
trunk call;Ferngespräch
port;Hafen
chamber of commerce;Handelskammer
expenditure of human labour;Arbeitsaufwand
key market;Schlüsselmarkt
credit balance;Guthaben, Guthabenüberschuss
dividend prospects;Dividendenaussichten
estate;Grundbesitz, Landbesitz, Gutsbesitz
misdirect;falsch adressieren, fehlleiten
to be inconsistent with one another;sich untereinander widersprechen
carrier's non-liability;Nichthaftung des Frachtführers
terms of settlement;Vergleichsbedingungen
valuable consideration;entgeltliche oder wertvolle Gegenleistung
take up the bill;einen Wechsel aufnehmen
burdened with taxes;belastet mit Steuern
optimistic;optimistisch
false pretences;falsche Behauptungen, Vorwand, Vorspiegelung falscher Tatsachen
field force;Stab der Außenmitarbeiter
underwriting;Übernahme einer Effektenemission, Zeichnen von Versicherungsrisiken
of commerce and industry;des Handels und der Industrie
industrial consumer;Industrieabnehmer, Großabnehmer
monoploy profit;Monopolgewinn
fabricate;herstellen
attractive;attraktiv, zugkräftig
is deemed to be;gilt als
reclamation;Rückforderung, Zurückforderung
afloat;auf See
sales room;Verkaufsraum
articles of apprenticeship;Lehrvertrag
sales assistant;Verkäufer
defunct;gelöscht
increase of capital stock;Kapitalerhöhung
high light;Glanzpunkt
verifiable;nachprüfbar
idle capacity;Leerkapazität, ungenutzte Kapazität
flow of work;Arbeitsablauf, Arbeitsgang, Arbeitsfluss
to make any necessary endorsements;etwa erforderliche Indossamente vornehmen
what charges;was für Kosten
stand costs;Kosten des Messestands
maximum obligation;Maximalverpflichtung
both ... and;sowohl ... als auch, sowohl ... und
center of information;Informationszentrum
game of strategy;strategisches Spiel
business jargon;Geschäftsjargon
night safe;Nachttresor
bondholder;Eigentümer von Obligationen, Inhaber einer Obligation, Pfandbriefinhaber, Obligationär
export guarantee;Exportgarantie
alternate deposit;Einlage mit mehrfacher Ziehungsberechtigung
wholesale trade;Großhandel
marketing difficulties;Absatzschwierigkeiten
padding;Füllmaterial, Beiwerk
arithmetic progression;arithmetische Progression
immovables;unbewegliche Güter, Immobilien
public revenue;Staatseinnahmen
quote;angeben, zitieren, anbieten, quotieren, notieren, Kurse angeben
manufacturing order;Arbeitsauftrag, Werkauftrag
building society;Bausparkasse, Wohnungsbaugenossenschaft
foreign advertising;Auslandswerbung
forecast;voraussagen, Voraussage, Prognose, Vorhersage
confide;anvertrauen
loss fully covered by insurance;voll gedeckter Schaden
predecessor;Vorgänger
judgment;Urteil
a rogue;ein Schurke
no credit is given;es wird kein Kredit gegeben
attention time;Überwachungszeit
in the contract of sale;im Kaufvertrag
hours of attendance;Dienststunden
may be used irrespective of;kann benutzt werden unabhängig von
the facilitation of trade;die Erleichterung des Handels
language of instruction;Unterweisungssprache
outside securities;nichtnotierte Werte
liquidate;liquidieren, auflösen
concentration;Konzentration
planned economy;Planwirtschaft
to advance on a security;gegen eine Sicherheit Geld vorschießen
pictorial advertisement;bebilderte Anzeige
house hunting;Wohnungssuche
render every assistance;jegliche Hilfe leisten, jegliche Unterstützung leisten
home trade;Binnenhandel
chief judge;vorsitzender Richter
migration into cities;Flucht in die Stadt, Landflucht
take goods into his charge;Ware übernehmen
list of references;Quellenangabe
savings;Ersparnisse
warehouse charges;Lagerkosten
base salary;Grundgehalt
collaborate;zusammenarbeiten
natural monopoly;natürliches Monopol
defective work;Ausschussarbeit
right of way;Wegerecht
ministerial accounts;Konten der Ministerien
commission basis;Provisionsgrundlage
wrong delivery;Falschlieferung
relaxation in credit restriction;Lockerung der Kreditbeschränkungen
the bank nominated by the principal;die vom Auftraggeber benannte Bank
luxory apartment;Luxuswohnung
face value;Nennwert, Nominalwert
loan value;Beleihungswert
full-time operation;Vollzeitbetrieb
payee;Zahlungsempfänger
practicable;durchführbar
decimalization;Dezimalisierung
jurisdiction clause;Zuständigkeitsklausel
expected to sail;voraussichtlich abfahrend
nowadays;heutzutage
umpire;Schlichter
large scale;in großem Umfang
reserved price;Mindestpreis
future;Zukunft
oath;Eid
short;kurz, knapp
tariff class;Tarifklasse
foresight;Voraussicht
profit insurance;Gewinnausfallsversicherung
accounting procedure;Buchhaltungsverfahren
list of prospectice customers;Liste der Kaufinteressenten
the jobber's turn;Verdienstspanne des Jobbers
through another country;durch ein drittes Land
to advance money against securities;Geld gegen Sicherheit vorschießen
specific problems;spezielle Probleme
multilateral agreement;multilaterales Abkommen
warning;Warnung
planning engineer;Arbeitsvorbereiter
this will increase our turnover;das wird unsere Umsätze erhöhen
Department of Trade and Industry;Wirtschaftsministerium
practicable scheme;ein realisierbares Vorhaben
protective tariffs;Schutzzölle
gamble;spekulieren, spielen, Spiel, Glücksspiel
parties to a contract;vertragsschließende Parteien
original edition;Originalausgabe
adjustment of a difference;Ausgleich einer Differenz
calculation of probabilities;Wahrscheinlichkeitsberechnung
import of foreign capital;Kapitaleinfuhr
normal distribution;Normalverteilung
high-performance;Hochleistungs-
it constitutes a definite undertaking;es begründet ein Versprechen
type of account;Kontenart
discount broker;Diskontmakler, Wechselmakler
financial report;Finanzbericht
test market;Testmarkt
secure;sichern
occupant;Bewohner, Inhaber, Wohnungsinhaber
buy;kaufen
full details to follow;vollständige Einzelheiten folgen
upon resumption of our business;bei Wiederaufnahme unserer Geschäftstätigkeit
target market;Zielmarkt
paid leave;bezahlter Urlaub
as contracted;wie vereinbart
construction spending;Bauausgaben
appointment to a public office;Berufung in ein öffentliches Amt
commercial treaty;Handelsvertrag
feudal system;Feudalsystem
resources;Quellen, Resourcen
